2,1,0.1
3,1,0.1
3,2,0.25
4,1,0.1
4,2,0.25
4,3,0.3
5,1,0.1
5,2,0.1
5,3,0.25
5,4,0.3
6,1,0.1
6,2,0.1
6,3,0.1
6,4,0.5
6,5,0.5
7,1,0.1
7,2,0.1
7,3,0.1
7,4,0.1
7,5,0.5
7,6,0.5
8,1,0.1
8,2,0.1
8,3,0.1
8,4,0.1
8,5,0.1
8,6,0.1
8,7,0.1
9,1,0.1
9,2,0.1
9,3,0.1
9,4,0.1
9,5,0.1
9,6,0.1
9,7,0.1
9,8,0.25
10,1,0.1
10,2,0.1
10,3,0.1
10,4,0.1
10,5,0.1
10,6,0.1
10,7,0.25
10,8,0.5
10,9,0.75
11,1,0.1
11,2,0.1
11,3,0.1
11,4,0.1
11,5,0.1
11,6,0.1
11,7,0.25
11,8,0.5
11,9,0.75
11,10,0.75
12,1,0.3
12,2,0.3
12,3,0.3
12,4,0.3
12,5,0.3
12,6,0.3
12,7,0.3
12,8,0.6
12,9,0.75
12,10,0.75
12,11,0.75
13,1,0.3
13,2,0.3
13,3,0.3
13,4,0.3
13,5,0.3
13,6,0.3
13,7,0.3
13,8,0.6
13,9,0.75
13,10,0.75
13,11,0.75
13,12,0.9
